"","date_amazon","date","id","price_offline","price_online","price_amazon","sale_online","product_online","product_amazon","merchant","url","imputed","comments","pricetype","datediff","cat_id","category","retailer_id","retailer_s"
"1","28-Jan-16","21-Jan-16","6350009",199.99,169.99,156.99,1,"Actiontec - MyWirelessTV2 Wireless Video Transmitter and Receiver - Black","Actiontec My Wireless TV WiFi / HDMI Multi-Room Wireless HD Video Kit - 2nd Generation (MWTV2KIT01)","Ships from and sold by Amazon.com. Gift-wrap available.","http://www.amazon.com/Actiontec-Wireless-WiFi-Multi-Room-Video/dp/B00LSS10PM/ref=sr_1_1?ie=UTF8&qid=1454040704&sr=8-1&keywords=Actiontec+-+MyWirelessTV2+Wireless+Video+Transmitter+and+Receiver+-+Black",1,"","Regular Price",7,900,"Electronics",40,"USA_40"
"2","8-Jun-16","7-Jun-16","1573073",159.99,106.99,149.97,1,"Turtle Beach - Ear Force XO SEVEN PRO Gaming Headset for Xbox One - Black/Green""","Turtle Beach - Ear Force XO Seven Pro Premium Gaming Headset - Superhuman Hearing - Xbox One","Ships from and sold by Amazon.com. Gift-wrap available.","http://www.amazon.com/Turtle-Beach-Premium-Headset-Superhuman-Hearing/dp/B00O9GVKZU?ie=UTF8&keywords=Turtle%20Beach%20-%20Ear%20Force%20XO%20SEVEN%20PRO%20Gaming%20Headset%20for%20Xbox%20One%20-%20Black%2FGreen%26%2334%3B&m=ATVPDKIKX0DER&qid=1465444078&ref_=sr_1_1&sr=8-1",NA,"","Regular Price",1,900,"Electronics",40,"USA_40"
"3","7-Jun-16","7-Jun-16","8801785",9.99,9.99,798,0,"Sony - Passive 3D Glasses - Black""","Sony KDL55W800C 55-Inch 1080p 3D Smart LED TV (2015 Model)","Ships from and sold by Amazon.com. Gift-wrap available.","http://www.amazon.com/Sony-KDL55W800C-55-Inch-1080p-Smart/dp/B00R45XC0Y?ie=UTF8&keywords=Sony%20-%20Passive%203D%20Glasses%20-%20Black%26%2334%3B&m=ATVPDKIKX0DER&qid=1465357430&ref_=sr_1_1&sr=8-1",NA,"","Regular Price",0,900,"Electronics",40,"USA_40"
"4","25-Feb-15","24-Feb-15","8.54E+11",249.99,249.99,249,0,"8.54E+11","Nest Learning Thermostat - 2nd Generation T200577","Ships from and sold by Amazon.com. Gift-wrap available.","http://www.amazon.com/Nest-Learning-Thermostat-Generation-T200577/dp/B009GDHYPQ/ref=sr_1_1?m=ATVPDKIKX0DER&ie=UTF8&qid=1424840626&sr=8-1&keywords=854448003037",1,"","",1,900,"Electronics",40,"USA_40"
"5","2-Jun-16","29-May-16","4802003",29.99,29.99,19.88,0,"Sony - AM/FM Dual-Alarm Clock Radio - Black""","Sony ICFC1 Alarm Clock Radio, Black","Ships from and sold by Amazon.com. Gift-wrap available.","http://www.amazon.com/Sony-ICFC1-Alarm-Clock-Radio/dp/B00IEYHMIM/ref=sr_1_1?m=ATVPDKIKX0DER&ie=UTF8&qid=1464924493&sr=8-1&keywords=Sony+-+AM%2FFM+Dual-Alarm+Clock+Radio+-+Black%22",1,"","Regular Price",4,900,"Electronics",40,"USA_40"
"6","28-May-16","21-May-16","3215111",12.99,12.99,11.84,0,"Nintendo - amiibo Figure (Peach)""","Peach amiibo (Super Mario Bros Series)","Ships from and sold by Amazon.com. Gift-wrap available.","http://www.amazon.com/Peach-amiibo-Super-Mario-Wii-U/dp/B00S7O6QWM/ref=sr_1_1?m=ATVPDKIKX0DER&ie=UTF8&qid=1464491590&sr=8-1&keywords=Nintendo+-+amiibo+Figure+%28Peach%29%22",1,"","Regular Price",7,900,"Electronics",40,"USA_40"
"7","9-Jun-16","7-Jun-16","4938104",39.99,38.99,35.16,1,"Speck - CandyShell Inked Case for Samsung Galaxy S7 Cell Phones - Vintage Bouquet Grey/Shocking Pink""","Samsung Galaxy S 7 Candyshell Inked Case","Ships from and sold by Amazon.com. Gift-wrap available.","https://www.amazon.com/Speck-Products-CandyShell-Shocking-Protective/dp/B01BCWL49U/ref=sr_1_1?m=ATVPDKIKX0DER&ie=UTF8&qid=1465530149&sr=8-1&keywords=Speck+-+CandyShell+Inked+Case+for+Samsung+Galaxy+S7+Cell+Phones+-+Vintage+Bouquet+Grey%2FShocking+Pink%22",NA,"","Regular Price",2,900,"Electronics",40,"USA_40"
"8","22-Jun-16","22-Jun-16","9575199",99.99,89.99,89.99,1,"Canon - MAXIFY MB2320 Wireless All-In-One Printer - Black""","Canon MAXIFY MB2320 Wireless Office All-In-One Inkjet Printer with Mobile and Tablet Printing, Black","Ships from and sold by Amazon.com. Gift-wrap available.","https://www.amazon.com/Canon-MB2320-Wireless-Printer-Printing/dp/B00NNVDPUK/ref=sr_1_1?m=ATVPDKIKX0DER&ie=UTF8&qid=1466651858&sr=8-1&keywords=Canon+-+MAXIFY+MB2320+Wireless+All-In-One+Printer+-+Black%22",NA,"","Regular Price",0,900,"Electronics",40,"USA_40"
"9","7-Jun-16","6-Jun-16","5265041",249.99,234.99,100.75,1,"Linksys - Wireless-AC Dual-Band Smart Wi-Fi Router with 4-Port Gigabit Ethernet Switch - Black""","NETGEAR AC1600 Dual Band Wi-Fi Gigabit Router (R6250)","Ships from and sold by Amazon.com. Gift-wrap available.","http://www.amazon.com/NETGEAR-AC1600-Wi-Fi-Gigabit-Router/dp/B00BR3ZYIW?ie=UTF8&keywords=Linksys%20-%20Wireless-AC%20Dual-Band%20Smart%20Wi-Fi%20Router%20with%204-Port%20Gigabit%20Ethernet%20Switch%20-%20Black%26%2334%3B&m=ATVPDKIKX0DER&qid=1465356320&ref_=sr_1_1&sr=8-1",NA,"","Regular Price",1,900,"Electronics",40,"USA_40"
"10","1-Jun-16","26-May-16","4639400",79.99,79.99,28.99,0,"Apple - Magic Mouse 2 - Silver""","iHome Bluetooth Mac Mouse - White (IMAC-M110W)","Ships from and sold by Amazon.com. Gift-wrap available.","https://www.amazon.com/iHome-Bluetooth-Mac-Mouse-IMAC-M110W/dp/B007X3VEX4/ref=sr_1_1?m=ATVPDKIKX0DER&ie=UTF8&qid=1464837112&sr=8-1&keywords=Apple+-+Magic+Mouse+2+-+Silver%22",1,"","Regular Price",6,900,"Electronics",40,"USA_40"
