created_date,created_time,text,replies,retweets,favorites
10/23/17,12:30:00 PM,"I had a very respectful conversation with the widow of Sgt. La David Johnson, and spoke his name from beginning, without hesitation!",46228,10243,49468
10/23/17,11:53:00 AM,"Two dozen NFL players continue to kneel during the National Anthem, showing total disrespect to our Flag &amp; Country.  No leadership in NFL!",31419,14006,62406
10/23/17,11:42:00 AM,"There will be NO change to your 401(k). This has always been a great and popular middle class tax break that works, and it stays!",9552,13719,62662
10/22/17,12:08:00 PM,"It is finally sinking through. 46% OF PEOPLE BELIEVE MAJOR NATIONAL NEWS ORGS FABRICATE STORIES ABOUT ME. FAKE NEWS, even worse! Lost cred.",56238,25102,112890
10/22/17,12:02:00 PM,"Wacky Congresswoman Wilson is the gift that keeps on giving for the Republican Party, a disaster for Dems. You watch her in action &amp; vote R!",32136,21573,97145
10/22/17,11:50:00 AM,Doing interview today with Maria Bartiromo at 10:00 A.M. on @FoxNews - ENJOY!,11153,7336,42415
10/22/17,12:09:00 AM,"...2nd Amendment, Strong Military, ISIS, historic VA improvement, Supreme Court Justice, Record Stock Market, lowest unemployment in 17 yrs!",24267,16216,72208
10/22/17,12:02:00 AM,"...9 months than this Administration. Over 50 Legislation approvals, massive regulation cuts, energy freedom, pipelines, border security....",16223,15125,71597
10/21/17,11:57:00 PM,"I agree getting Tax Cuts approved  is important (we will also get HealthCare), but perhaps no Administration has done more in its first.....",13914,12682,64506
10/21/17,10:51:00 PM,"Just out, but lightly reported: ""Fewest jobless claims since 1973 show firm U.S. Job Market"" Lowest since March 1973. @bpolitics",11117,16286,61853
10/21/17,9:21:00 PM,"Crooked Hillary Clinton spent hundreds of millions of dollars more on Presidential Election than I did. Facebook was on her side, not mine!",39988,21916,94648
10/21/17,8:06:00 PM,"Keep hearing about ""tiny"" amount of money spent on Facebook ads. What about the billions of dollars of Fake News on CNN, ABC, NBC &amp; CBS?",30950,22942,93003
10/21/17,7:59:00 PM,"Officials behind the now discredited ""Dossier"" plead the Fifth. Justice Department and/or FBI should immediately release who paid for it.",15593,23042,75980
10/21/17,4:50:00 PM,   Trump hails liberation of Raqqa as critical breakthrough in anti-ISIS campaign _ https://t.co/2eoYXJB7h0,7023,10477,44463
10/21/17,1:14:00 PM,Stock Market hits another all time high on Friday. 5.3 trillion dollars up since Election. Fake News doesn't spent much time on this!,22522,20627,90626
10/21/17,1:08:00 PM,People get what is going on! https://t.co/Pdg7VqQv6M,18543,15240,51874
10/21/17,1:02:00 PM,RT @IamVicky4Trump: TUNE IN: Maria Bartiromo Has an Exclusive Interview With President Trump https://t.co/H5VuJwy78o,2555,5355,20354
10/21/17,12:35:00 PM,"Subject to the receipt of further information, I will be allowing, as President, the long blocked and classified JFK FILES to be opened.",38253,69410,205353
10/21/17,12:07:00 PM,"I hope the Fake News Media keeps talking about Wacky Congresswoman Wilson in that she, as a representative, is killing the Democrat Party!",33326,19720,88116
10/21/17,11:52:00 AM,"Budget that just passed is a really big deal, especially in terms of what will be the biggest tax cut in U.S. history - MSM barely covered!",9928,15220,67659
10/20/17,11:52:00 PM,"Great book just out, ""A Place Called Heaven,"" by Dr. Robert Jeffress - A wonderful man!",22288,13708,69808
10/20/17,9:10:00 PM,This is a once-in-a-generation opportunity to offer historic tax relief to the American people! Join me today: https://t.co/9czcJDbmVW https://t.co/s3kXpvbYih,16232,15468,61856
10/20/17,6:31:00 PM,Thank you @GeraldoRivera @FoxandFriends. Agree! https://t.co/8cZLdAbgzw,9395,12757,47309
10/20/17,10:31:00 AM,"Just out report: ""United Kingdom crime rises 13% annually amid spread of Radical Islamic terror."" Not good, we must keep America safe!",52558,29383,106684
10/20/17,10:15:00 AM,"....This now allows for the passage of large scale Tax Cuts (and Reform), which will be the biggest in the history of our country!",11593,15122,73682
10/20/17,10:11:00 AM,"The Budget passed late last night, 51 to 49. We got ZERO Democrat votes with only Rand Paul (he will vote for Tax Cuts) voting against.....",7943,15790,70155
10/20/17,5:12:00 AM,Great news on the 2018 budget @SenateMajLdr McConnell - first step toward delivering MASSIVE tax cuts for the American people! #TaxReform https://t.co/aBzQR7KR0c,9658,12767,53372
10/20/17,3:00:00 AM,Big ratings getter @seanhannity and Apprentice Champion John Rich are right now going on stage in Las Vegas for #VegasStrong. Great Show!,10478,9778,50938
10/20/17,2:53:00 AM,"The Fake News is going crazy with wacky Congresswoman Wilson(D), who was SECRETLY on a very personal call, and gave a total lie on content!",49062,20955,89823
10/19/17,8:40:00 PM,It was great to have Governor @RicardoRossello of #PuertoRico_   _   with us at the @WhiteHouse today. We are with you! #PRStrong https://t.co/Op2xDZxvNc,9335,10865,48875
